 20241113	 11:44:24	3814339464	4117B	2378	168.325	22.239
 20241113	 11:44:54	3814339494	4117B	2378	168.299	22.239
 20241113	 11:45:24	3814339524	4117B	2378	168.304	22.238
 20241113	 11:45:54	3814339554	4117B	2378	168.289	22.238
 20241113	 11:46:24	3814339584	4117B	2378	168.285	22.239
 20241113	 11:46:54	3814339614	4117B	2378	168.295	22.238
 20241113	 11:47:24	3814339644	4117B	2378	168.252	22.240
 20241113	 11:47:54	3814339674	4117B	2378	168.275	22.240
 20241113	 11:48:24	3814339704	4117B	2378	168.250	22.239
 20241113	 11:48:54	3814339734	4117B	2378	168.247	22.240
 20241113	 11:49:24	3814339764	4117B	2378	168.247	22.239
 20241113	 11:49:54	3814339794	4117B	2378	168.267	22.240
 20241113	 11:50:24	3814339824	4117B	2378	168.237	22.240
 20241113	 11:50:54	3814339854	4117B	2378	168.218	22.240
 20241113	 11:51:24	3814339884	4117B	2378	168.227	22.240
 20241113	 11:51:54	3814339914	4117B	2378	168.215	22.240
 20241113	 11:52:24	3814339944	4117B	2378	168.204	22.241
 20241113	 11:52:54	3814339974	4117B	2378	168.202	22.241
 20241113	 11:53:24	3814340004	4117B	2378	168.179	22.241
 20241113	 11:53:54	3814340034	4117B	2378	168.202	22.241
 20241113	 11:54:24	3814340064	4117B	2378	168.200	22.242
 20241113	 11:54:54	3814340094	4117B	2378	168.200	22.242
 20241113	 11:55:24	3814340124	4117B	2378	168.159	22.241
 20241113	 11:55:54	3814340154	4117B	2378	168.182	22.241
 20241113	 11:56:24	3814340184	4117B	2378	168.163	22.242
 20241113	 11:56:54	3814340214	4117B	2378	168.157	22.243
 20241113	 11:57:24	3814340244	4117B	2378	168.125	22.243
 20241113	 11:57:54	3814340274	4117B	2378	168.141	22.243
 20241113	 11:58:24	3814340304	4117B	2378	168.142	22.243
 20241113	 11:58:54	3814340334	4117B	2378	168.144	22.243
 20241113	 11:59:24	3814340364	4117B	2378	168.121	22.244
 20241113	 11:59:54	3814340394	4117B	2378	168.109	22.243
 20241113	 12:00:24	3814340424	4117B	2378	168.124	22.243
 20241113	 12:00:54	3814340454	4117B	2378	168.116	22.244
 20241113	 12:01:24	3814340484	4117B	2378	168.103	22.244
 20241113	 12:01:54	3814340514	4117B	2378	168.074	22.244
 20241113	 12:02:24	3814340544	4117B	2378	168.079	22.244
 20241113	 12:02:54	3814340574	4117B	2378	168.054	22.244
 20241113	 12:03:24	3814340604	4117B	2378	168.065	22.245
 20241113	 12:03:54	3814340634	4117B	2378	168.080	22.245
 20241113	 12:04:24	3814340664	4117B	2378	168.071	22.245
 20241113	 12:04:54	3814340694	4117B	2378	168.066	22.246
 20241113	 12:05:24	3814340724	4117B	2378	168.057	22.244
 20241113	 12:05:54	3814340754	4117B	2378	168.035	22.246
 20241113	 12:06:24	3814340784	4117B	2378	168.046	22.246
 20241113	 12:06:54	3814340814	4117B	2378	168.059	22.246
 20241113	 12:07:24	3814340844	4117B	2378	168.046	22.246
 20241113	 12:07:54	3814340874	4117B	2378	168.017	22.246
 20241113	 12:08:24	3814340904	4117B	2378	168.036	22.246
 20241113	 12:08:54	3814340934	4117B	2378	168.033	22.247
 20241113	 12:09:24	3814340964	4117B	2378	168.029	22.247
 20241113	 12:09:54	3814340994	4117B	2378	168.015	22.246
 20241113	 12:10:24	3814341024	4117B	2378	168.009	22.247
 20241113	 12:10:54	3814341054	4117B	2378	168.006	22.247
 20241113	 12:11:24	3814341084	4117B	2378	167.990	22.247
 20241113	 12:11:54	3814341114	4117B	2378	168.005	22.247
 20241113	 12:12:24	3814341144	4117B	2378	167.992	22.248
 20241113	 12:12:54	3814341174	4117B	2378	167.985	22.248
 20241113	 12:13:24	3814341204	4117B	2378	167.975	22.248
 20241113	 12:13:54	3814341234	4117B	2378	167.968	22.248
 20241113	 12:14:24	3814341264	4117B	2378	167.971	22.248
 20241113	 12:14:54	3814341294	4117B	2378	167.939	22.249
 20241113	 12:15:24	3814341324	4117B	2378	167.946	22.249
 20241113	 12:15:54	3814341354	4117B	2378	167.940	22.249
 20241113	 12:16:24	3814341384	4117B	2378	167.946	22.249
